ticker,company,ipo_date,sic_desc,proposed_article,article_created,body_words_at_ipo,overlap,lead_extract,VERDICT_1_or_0
FLYW,Flywire Corp,2021-05-26,"Services-Business Services, NEC",Fly wire,2022-02-25,0,0.0,"Fly wire, Fly-wire, Flywire or Fly Wire may refer to:

Flywire (company), a former unicorn startup company
Flywire (screen), a window screen of wire gauze
Flywire (thread), a special thread constructi",
WDI,Western Asset Diversified,2021-06-25,,Diversified Energy,2020-09-02,118,0.333,"Diversified Energy Company PLC, formerly Diversified Gas & Oil PLC, is a gas and oil production company operating in the Appalachian Basin and the Central Region in the United States. It is listed on ",
REFI,Chicago Atlantic Real Estate,2021-12-08,Real Estate Investment Trusts,1830s Chicago real estate bubble,2013-04-08,437,0.6,"The Chicago real estate bubble of the 1830s was a real estate bubble, during which time the per acre prices (in 2012 dollars) in the future Chicago Loop increased from $800 in 1830 to $327,000 in 1836",
TOP,ZHONG YANG FINANCIAL GROUP LTD,2022-06-01,"Security & Commodity Brokers, Dealers, Exchanges & Services",Zhong Lun,2012-04-21,191,0.333,"Zhong Lun (Chinese: 中伦律师事务所; pinyin: Zhōnglún Lǜshī Shìwùsuǒ) is a Chinese multinational law firm headquartered in Beijing, China. It was founded in 1993 as one of the first private law firms in China",
HSCS,"Heart Test Laboratories, Inc",2022-06-15,Finance Services,Abbott Laboratories,2004-02-25,2520,0.333,"Abbott Laboratories, commonly known as Abbott, is an American multinational medical devices and health care company founded in Chicago with headquarters in Abbott Park, Illinois. The company produces ",
GSUN,Golden Sun Education Group Ltd,2022-06-22,Services-Educational Services,Justin Sun,2019-06-04,280,0.333,"Justin Sun (Chinese: 孙宇晨; pinyin: Sūn Yǔchén; born July 30, 1990) is a Chinese-born businessman. He is the founder of Tron, the developer of Tronix (TRX) cryptocurrency and its blockchain, and a stabl",
MEGL,Magic Empire Global Ltd,2022-08-05,Finance Services,Magic Kingdom,2004-03-19,2701,0.333,"Magic Kingdom Park, or simply Magic Kingdom, is a theme park at the Walt Disney World Resort in Bay Lake, Florida, near Orlando. It opened on October 1, 1971, and is owned and operated by the Walt Dis",
NXT,Nextracker Inc,2023-02-09,Semiconductors & Related Devices,Nextpower,2024-08-29,0,0.0,"Nextpower Inc. (NXT) is a global energy technology provider based in Fremont, California. 
The company was originally established in 2014 as Nextracker Inc. On November 12, 2025, it rebranded as Nextp",
MGIH,Millennium Group International,2023-04-04,Commercial Printing,OTB Group,2014-02-11,411,0.333,"Only The Brave, S.p.A., commonly known as OTB Group, is an Italian multinational  holding company  specializing in luxury goods, headquartered in Breganze. The company was founded in 2002 by Renzo Ros",
TPET,Trio Petroleum Corp.,2023-04-18,Crude Petroleum & Natural Gas,China National Petroleum Corporation,2005-09-09,2335,0.333,The China National Petroleum Corporation (CNPC; Chinese: 中国石油天然气集团公司; pinyin: Zhōngguó Shíyóu Tiānránqì Jítuán Gōngsī) is a major national oil and gas corporation of China and one of the largest integ,
GENK,"GEN Restaurant Group, Inc.",2023-06-28,Retail-Eating  Places,Gen Korean BBQ,2024-01-14,0,0.333,"Gen Korean BBQ is an American chain of all-you-can-eat Korean barbecue restaurants mainly concentrated around the Western U.S. It opened in 2011, and has since grown to 43 locations as of 2024.",
GSIW,Garden Stage Ltd,2023-12-01,"Security & Commodity Brokers, Dealers, Exchanges & Services",The Secret Garden,2003-12-22,4074,0.333,"The Secret Garden is a children's novel by Frances Hodgson Burnett first published in book form in 1911, after serialisation in The American Magazine (November 1910 – August 1911). Set in England, it ",
YIBO,Planet Image International Ltd,2024-01-25,"Computer Peripheral Equipment, NEC",Planet Labs,2013-11-26,1524,0.333,"Planet Labs PBC (formerly Planet Labs, Inc. and Cosmogia, Inc.), known as ""Planet."", is a publicly traded American Earth imaging company based in San Francisco, California. Their goal is to image the ",
TBBB,BBB FOODS INC,2024-02-09,Retail-Grocery Stores,Humpty Dumpty Snack Foods,2005-07-28,463,0.25,"Humpty Dumpty Snack Foods is an American food company, operating as a subsidiary of Old Dutch Foods, that packages and sells snack foods. The company is named after the nursery rhyme character and fea",
MNDR,Mobile-health Network Solution,2024-04-10,Services-Prepackaged Software,Mobile phone,2001-10-19,5162,0.25,"A mobile phone or cell phone is a portable wireless  telephone that allows users to make and receive calls over a radio frequency link while moving within a designated telephone service area, unlike f",
ULS,UL Solutions Inc.,2024-04-12,Services-Testing Laboratories,UL (safety organization),2003-08-02,746,0.0,"UL Research Institutes is a global private safety company headquartered in Northbrook, Illinois, composed of three organizations, UL Research Institutes (parent non-profit), UL Standards & Engagement ",
LB,LandBridge Co LLC,2024-06-28,Oil Royalty Traders,Saudi Landbridge Project,2008-01-09,177,0.333,"The Saudi Landbridge is a railway line currently under development by the Saudi Railway Company (SAR). 
The 950 km (594 miles) ‘’Landbridge Line” has been planned to link Jeddah on the Red Sea coast w",
LBGJ,Li Bang International Corp Inc,2024-10-23,Refrigeration & Service Industry Machinery,List of songs written by Bang Chan,2024-12-18,0,0.2,"Australian singer, rapper, songwriter, and producer Christopher Chahn Bahng, known professionally as Bang Chan, is the leader of the South Korean boy band Stray Kids and a member of its hip-hop and pr",
